list,exp,trial,con,fab_stimulus,fab_question,fab_key,qtype,id,fab_instruction
,,,,,,,,,ins1.jpg
,,,,,,,,,ins2.jpg
4,prac,0.1,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Harry's girlfriend turned down his invitation. |He decided not to go out with her any more./,Was Harry turned down by his girlfriend? <br>('O' for no; 'P' for yes),Y,prac,prac1,ins3.jpg
4,prac,0.2,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Hoping to buy a new tent&#44 the smart brothers saved the money. |They kept it in their bedroom./,Did the brothers keep the money in their kitchen?<br>('O' for no; 'P' for yes),N,prac,prac2,
4,prac,0.3,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /John came back home from the city a while ago. |Frantically he searched through the medicine cabinet./,Did John search through the medicine cabinet?<br>('O' for no; 'P' for yes),Y,prac,prac3,
4,prac,0.4,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The college student knew she was not ready for the test | she was going to take early Monday./,Did the college student know she was not ready for the class?<br>('O' for no; 'P' for yes),N,prac,prac4,
4,prac,0.5,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Lisa wanted to live closer to her new office. |She opened the paper to the apartment listing./,Did Lisa open the paper to hunt a new job?<br>('O' for no; 'P' for yes),N,prac,prac5,
4,b,1,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The paramedics ran out of the hospital. |They went quickly to the scene of the car crash./,Did the paramedics go to the location of the car crash?<br>('O' for no; 'P' for yes),Y,second,b_15,ins4.jpg
4,a,2,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Tony's friend suddenly pushed him into a pond. |He walked home&#44 soaking wet&#44 to change his clothes./,Did Tony's friend push him into a pond?<br>('O' for no; 'P' for yes),Y,first,a_7,
4,b,3,MIN,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The taxidermist stuffed a variety of small animals |that mostly had been hunting trophies./,Did the taxidermist stuff a variety of dolls?<br>('O' for no; 'P' for yes),N,first,b_8,
4,a,4,non_causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Rose came back to her apartment after work. |She found herself too frightened to move./,Did Rose find herself too frightened to speak?<br>('O' for no; 'P' for yes),N,second,a_13,
4,a,5,non_causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Richard left home early after eating breakfast. |He spent a whole day shopping for the present./,Did Richard spend a whole day shopping?<br>('O' for no; 'P' for yes),Y,second,a_16,
4,b,6,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The policeman tried to find the contraband. |The smuggler hid it inside his daughter's doll./,Did the policeman try to find the contraband?<br>('O' for no; 'P' for yes),Y,first,b_1,
4,a,7,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Sharon decided to buy a foreign sports car. |She went to the bank hoping to get a loan./,Did Sharon decide to buy a pickup truck?<br>('O' for no; 'P' for yes),N,first,a_2,
4,b,8,MIN,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /In Hollywood she saw several celebrities |who had just recently starred in her favorite film./,Had the celebrities starred in her favorite film? <br>('O' for no; 'P' for yes),Y,second,b_12,
4,a,9,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Ann was falling behind in her schoolwork. |She decided to study harder to catch up./,Did Ann decide to ask for a favor from the teacher?<br>('O' for no; 'P' for yes),N,second,a_11,
4,a,10,non_causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Jake majored in engineering in Vermont. |He joined the Peace Corps after graduation./,Did Jake join the Peace Corps?<br>('O' for no; 'P' for yes),Y,second,a_19,
4,b,11,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The jester was employed by a king as a professional fool. |He was an amusement to the court./,Was the jester employed by a princess?<br>('O' for no; 'P' for yes),N,first,b_9,
4,a,12,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Bill wanted to major in engineering. |He applied to a program at MIT./,Did Bill want to major in engineering?<br>('O' for no; 'P' for yes),Y,first,a_9,
