"","dat_Subject","list","exp","trial","con","fab_stimulus","fab_question","fab_key","qtype","id","fab_instruction","dat_Trial","dat_Ans","dat_AnsReactionTime","dat_Accuracy"
"1","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.1,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Harry's girlfriend turned down his invitation. |He decided not to go out with her any more./","Was Harry turned down by his girlfriend? <br>('O' for no; 'P' for yes)","Y","prac","prac1",NA,1,"Y",2930,1
"2","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.2,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Hoping to buy a new tent&#44 the smart brothers saved the money. |They kept it in their bedroom./","Did the brothers keep the money in their kitchen?<br>('O' for no; 'P' for yes)","N","prac","prac2",NA,2,"Y",478,0
"3","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.3,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /John came back home from the city a while ago. |Frantically he searched through the medicine cabinet./","Did John search through the medicine cabinet?<br>('O' for no; 'P' for yes)","Y","prac","prac3",NA,3,"Y",456,1
"4","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.4,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The college student knew she was not ready for the test | she was going to take early Monday./","Did the college student know she was not ready for the class?<br>('O' for no; 'P' for yes)","N","prac","prac4",NA,4,"N",444,1
"5","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.5,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Lisa wanted to live closer to her new office. |She opened the paper to the apartment listing./","Did Lisa open the paper to hunt a new job?<br>('O' for no; 'P' for yes)","N","prac","prac5",NA,5,"Y",420,0
"6","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"b",1,"SNT","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The paramedics ran out of the hospital. |They went quickly to the scene of the car crash./","Did the paramedics go to the location of the car crash?<br>('O' for no; 'P' for yes)","Y","second","b_15","Good!",6,"Y",354,1
"7","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"a",2,"causal","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Tony's friend suddenly pushed him into a pond. |He walked home&#44 soaking wet&#44 to change his clothes./","Did Tony's friend push him into a pond?<br>('O' for no; 'P' for yes)","Y","first","a_7",NA,7,"Y",331,1
"8","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"b",3,"MIN","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The taxidermist stuffed a variety of small animals |that mostly had been hunting trophies./","Did the taxidermist stuff a variety of dolls?<br>('O' for no; 'P' for yes)","N","first","b_8",NA,8,"Y",309,0
"9","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"a",4,"non_causal","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Rose came back to her apartment after work. |She found herself too frightened to move./","Did Rose find herself too frightened to speak?<br>('O' for no; 'P' for yes)","N","second","a_13",NA,9,"Y",756,0
"10","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"a",5,"non_causal","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Richard left home early after eating breakfast. |He spent a whole day shopping for the present./","Did Richard spend a whole day shopping?<br>('O' for no; 'P' for yes)","Y","second","a_16",NA,10,"N",602,0
